nama,jurusan_sma,nilai_sem1,nilai_sem2,nilai_sem3,nilai_sem4,nilai_sem5,rata_rata,nama_sekolah,ranking,akreditasi,indeks_sekolah,kuota_eligible,provinsi,nilai_berbobot,target_ptn,target_prodi,target_jenjang,passing_grade,daya_tampung_2026,peminat_2025,rasio_keketatan,target_lulus_snbp
Siswa_1,IPA,85.9,84.1,86.8,87.5,88.2,86.5,SMA NEGERI 4 CIMAHI,887,C,86.7,0.05,JAWA BARAT,75.0,ISI PADANG PANJANG,SENI MUSIK,Sarjana,86.07,40,66.0,0.6061,0
Siswa_2,IPS,78.3,79.2,78.9,79.2,79.2,78.96,SMAN 32 JAKARTA,428,C,93.59,0.05,DKI JAKARTA,73.9,UNIVERSITAS HALUOLEO,STATISTIKA,Sarjana,80.94,29,107.0,0.271,0
Siswa_3,IPS,86.9,84.9,83.5,82.4,82.2,83.98,SMAN 64 JAKARTA,305,B,95.44,0.25,DKI JAKARTA,80.15,UNIVERSITAS NEGERI SURABAYA,HUBUNGAN INTERNASIONAL,Sarjana,87.01,50,277.0,0.1805,0
Siswa_4,IPA,88.1,90.6,89.5,88.1,89.3,89.12,SMKN 62 JAKARTA,872,C,86.92,0.05,DKI JAKARTA,77.46,UNIVERSITAS BANGKA BELITUNG,ILMU KELAUTAN,Sarjana,82.34,30,69.0,0.4348,1
Siswa_5,IPA,87.8,89.0,89.0,90.9,91.2,89.58,SMAN 1 MERAUKE,971,C,85.44,0.05,PAPUA,76.54,ISI YOGYAKARTA,SENI RUPA MURNI,Sarjana,86.07,36,184.0,0.1957,0
Siswa_6,IPA,90.4,88.5,88.8,88.7,88.2,88.92,SMAN 1 GENTENG,317,B,95.26,0.25,JAWA TIMUR,84.71,UNIVERSITAS TADULAKO,PEND. FISIKA,Sarjana,83.11,50,53.0,0.9434,1
Siswa_7,IPA,89.2,89.6,89.0,90.6,92.1,90.1,SMKN 2 BLITAR,963,C,85.56,0.05,JAWA TIMUR,77.09,"UPN ""VETERAN"" JAWA TIMUR",EKONOMI PEMBANGUNAN,Sarjana,86.07,90,565.0,0.1593,0
Siswa_8,IPS,87.3,86.8,85.2,84.4,84.5,85.64,SMAS ISLAM AL-AZHAR SOLO BARU,635,C,90.48,0.05,JAWA TENGAH,77.49,UNIVERSITAS TIDAR,AGRIBISNIS,Sarjana,82.69,30,338.0,0.0888,0
Siswa_9,IPS,84.6,86.3,86.4,87.7,87.8,86.56,MAS AL MUKMIN NGRUKI,902,C,86.47,0.05,JAWA TENGAH,74.85,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,MANAJEMEN,Sarjana,87.98,23,100.0,0.23,0
Siswa_10,IPS,76.7,80.4,81.7,85.3,87.2,82.26,SMAS BPK 1 PENABUR BANDUNG,9,A,99.88,0.4,JAWA BARAT,82.16,UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN VOKASIONAL DESAIN FASHION,Sarjana,86.07,22,174.5,0.2013,0
Siswa_11,IPA,87.1,84.4,86.6,88.8,88.7,87.12,SMAS GLOBAL ISLAMIC SCHOOL,774,C,88.39,0.05,DKI JAKARTA,77.01,UNIVERSITAS PADJADJARAN,SASTRA INDONESIA,Sarjana,85.49,37,395.0,0.0937,0
Siswa_12,IPS,86.0,87.3,87.2,87.3,87.1,86.98,SMAS GONZAGA JAKARTA,73,A,98.92,0.4,DKI JAKARTA,86.04,UNIVERSITAS PATTIMURA,FISIKA,Sarjana,82.04,15,12.0,1.25,1
Siswa_13,IPS,86.4,87.0,87.2,88.7,89.3,87.72,SMAN 1 SRAGEN,359,B,94.62,0.25,JAWA TENGAH,83.0,UNIVERSITAS CENDERAWASIH,TEKNIK GEOFISIKA,Sarjana,82.08,10,4.0,2.5,1
Siswa_14,IPA,78.6,81.0,80.1,80.6,79.4,79.94,SMAN 60 JAKARTA,223,B,96.67,0.25,DKI JAKARTA,77.28,UNIVERSITAS RIAU,BIMBINGAN KONSELING,Sarjana,90.68,24,902.0,0.0266,0
Siswa_15,IPA,79.6,81.0,82.0,83.0,82.2,81.56,MAN 1 KOTA BEKASI,416,C,93.77,0.05,JAWA BARAT,76.48,UIN SUNAN AMPEL SURABAYA,AKUNTANSI,Sarjana,86.07,59,280.0,0.2107,0
Siswa_16,IPA,90.3,89.8,89.1,89.4,88.8,89.48,SMAN 1 PEMALANG,553,C,91.71,0.05,JAWA TENGAH,82.06,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),Sarjana,85.0,12,92.0,0.1304,0
Siswa_17,IPA,84.8,85.2,87.3,88.0,87.7,86.6,MAN 1 KOTA MALANG,370,B,94.46,0.25,JAWA TIMUR,81.8,UNIVERSITAS MATARAM,AGRIBISNIS,Sarjana,88.54,57,545.0,0.1046,0
Siswa_18,IPA,88.4,87.8,85.2,86.7,86.7,86.96,SMA IT AL ITTIHAD,716,C,89.26,0.05,RIAU,77.62,ISI BALI,MUSIK,Sarjana,86.07,32,50.0,0.64,0
Siswa_19,IPA,85.1,88.3,88.6,87.6,87.3,87.38,SMA NEGERI 06,264,B,96.05,0.25,JAWA TENGAH,83.93,UNIVERSITAS INDONESIA,MATEMATIKA,Sarjana,88.32,16,262.0,0.0611,0
Siswa_20,IPA,85.1,86.2,87.8,86.8,86.0,86.38,SMAN 1 BOJA,840,C,87.4,0.05,JAWA TENGAH,75.5,UNIVERSITAS NEGERI GORONTALO,KEDOKTERAN,Sarjana,92.82,21,386.0,0.0544,0
Siswa_21,IPS,89.7,94.5,95.9,94.1,96.0,94.04,SMAS SARASWATI,690,C,89.65,0.05,BALI,84.31,UNIVERSITAS NEGERI SEMARANG,ILMU POLITIK,Sarjana,87.14,53,325.0,0.1631,0
Siswa_22,IPA,82.4,83.3,89.7,87.5,88.2,86.22,SMAN 1 KLIRONG,860,C,87.1,0.05,JAWA TENGAH,75.1,UNIVERSITAS SEBELAS MARET,SOSIOLOGI,Sarjana,87.82,30,296.0,0.1014,0
Siswa_23,IPA,85.5,85.1,86.8,85.3,85.3,85.6,MAS MUALLIMAAT MUHAMMADIYAH,318,B,95.24,0.25,DI YOGYAKARTA,81.53,UNIVERSITAS SEBELAS MARET,PENDIDIKAN BAHASA JAWA,Sarjana,86.47,27,238.0,0.1134,1
Siswa_24,IPA,82.7,80.7,79.7,81.0,79.6,80.74,SMAN 19 JAKARTA,84,A,98.75,0.4,DKI JAKARTA,79.73,UNIVERSITAS NEGERI MALANG,PENDIDIKAN BIOLOGI,Sarjana,87.52,46,354.0,0.1299,0
Siswa_25,IPA,82.8,80.2,81.0,80.2,79.3,80.7,MAS MUALLIMAAT MUHAMMADIYAH,318,B,95.24,0.25,DI YOGYAKARTA,76.86,POLITEKNIK NEGERI SEMARANG,AKUNTANSI MANAJERIAL,Sarjana Terapan,86.07,36,274.0,0.1314,0
Siswa_26,IPS,83.5,81.3,78.7,80.8,80.4,80.94,SMAN 55 JAKARTA,111,B,98.35,0.25,DKI JAKARTA,79.6,UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN BIOLOGI,Sarjana,86.03,50,65.0,0.7692,0
Siswa_27,IPA,86.1,87.6,88.5,89.6,89.3,88.22,SMAN 80 JAKARTA,251,B,96.25,0.25,DKI JAKARTA,84.91,POLITEKNIK NEGERI MEDIA KREATIF,PENGELOLAAN PERHOTELAN,Sarjana Terapan,86.07,38,347.0,0.1095,0
Siswa_28,IPA,82.6,84.6,84.0,81.0,81.0,82.64,SMA NEGERI 11,383,B,94.26,0.25,JAWA TENGAH,77.9,POLITEKNIK NEGERI INDRAMAYU,TEKNOLOGI REKAYASA ELEKTRO-MEDIS,Sarjana Terapan,86.07,30,174.5,0.2013,0
Siswa_29,IPA,91.3,89.1,91.9,94.3,94.3,92.18,SMAS KANISIUS JAKARTA,7,A,99.91,0.4,DKI JAKARTA,92.1,UNIVERSITAS RIAU,PERPAJAKAN,Diploma Tiga,86.37,36,160.0,0.225,1
Siswa_30,IPA,80.5,83.3,83.2,85.8,86.4,83.84,SMAN 22 JAKARTA,459,C,93.12,0.05,DKI JAKARTA,78.07,UNIVERSITAS BRAWIJAYA,"EKONOMI, KEUANGAN DAN PERBANKAN",Sarjana,90.11,47,586.0,0.0802,0
Siswa_31,IPS,84.1,84.1,84.9,83.9,83.4,84.08,SMAN 19 JAKARTA,84,A,98.75,0.4,DKI JAKARTA,83.03,UNIVERSITAS PATTIMURA,PEND. BAHASA INDONESIA,Sarjana,85.97,32,68.0,0.4706,0
Siswa_32,IPA,82.8,84.1,83.8,85.7,87.7,84.82,SMAN 84 JAKARTA,208,B,96.89,0.25,DKI JAKARTA,82.18,UNIVERSITAS BENGKULU,AGROEKOTEKNOLOGI,Sarjana,84.87,24,198.0,0.1212,0
Siswa_33,IPA,92.2,96.5,100.0,99.3,100.0,97.6,SMAN 4 CIBINONG,900,C,86.5,0.05,JAWA BARAT,84.42,UNIVERSITAS BANGKA BELITUNG,BIOLOGI,Sarjana,83.99,26,109.0,0.2385,0
Siswa_34,IPS,86.0,88.8,89.1,90.3,90.2,88.88,SMA Negeri 10 Samarinda,390,B,94.16,0.25,KALIMANTAN TIMUR,83.69,UNIVERSITAS NEGERI SURABAYA,ILMU KEOLAHRAGAAN,Sarjana,84.33,80,273.0,0.293,0
Siswa_35,IPS,90.2,90.6,95.3,93.8,95.1,93.0,SMAN 1 SOOKO,314,B,95.3,0.25,JAWA TIMUR,88.63,UNIVERSITAS BANGKA BELITUNG,SASTRA INGGRIS,Sarjana,84.05,52,116.0,0.4483,1
Siswa_36,IPS,77.6,76.8,79.4,76.8,75.7,77.26,SMAN 21 JAKARTA,22,A,99.68,0.4,DKI JAKARTA,77.01,UNIVERSITAS DIPONEGORO,TEKNIK PERKAPALAN,Sarjana,87.84,42,376.0,0.1117,0
Siswa_37,IPA,86.3,83.0,85.0,85.2,85.2,84.94,SMKN 1 WONOSARI,410,C,93.86,0.05,DI YOGYAKARTA,79.72,POLITEKNIK NEGERI MEDAN,MANAJEMEN REKAYASA KONSTRUKSI GEDUNG,Sarjana Terapan,86.07,42,112.0,0.375,0
Siswa_38,IPA,89.4,89.0,90.7,91.5,90.3,90.18,SMAN KEBAKKRAMAT,895,C,86.58,0.05,JAWA TENGAH,78.08,UNIVERSITAS PENDIDIKAN INDONESIA,TEKNIK LOGISTIK,Sarjana,85.11,16,196.0,0.0816,0
Siswa_39,IPS,85.4,86.0,87.8,88.0,87.4,86.92,SMAN 1 CAWAS,515,C,92.28,0.05,JAWA TENGAH,80.21,UNIVERSITAS SAM RATULANGI,ILMU POLITIK,Sarjana,85.86,18,46.0,0.3913,0
Siswa_40,IPA,90.3,89.4,86.5,85.1,84.4,87.14,MAN 2 PEKANBARU,127,B,98.11,0.25,RIAU,85.49,UNIVERSITAS NEGERI PADANG,BISNIS DIGITAL,Sarjana,87.89,28,466.0,0.0601,0
Siswa_41,IPA,82.4,83.2,83.6,83.8,84.6,83.52,SMAS HARAPAN 3 DELI TUA,809,C,87.87,0.05,SUMATERA UTARA,73.39,UNIVERSITAS NEGERI PADANG,TEKNIK ELEKTRO,Sarjana,86.5,18,280.0,0.0643,0
Siswa_42,IPA,92.0,93.2,95.9,97.4,98.4,95.38,SMKN 1 DEPOK,700,C,89.5,0.05,DI YOGYAKARTA,85.37,UIN SJECH M. DJAMIL DJAMBEK BUKITTINGGI,BISNIS DIGITAL,Sarjana,86.07,24,59.0,0.4068,0
Siswa_43,IPA,96.5,97.0,97.9,98.9,99.2,97.9,MAS ALI MAKSUM,874,C,86.89,0.05,DI YOGYAKARTA,85.07,UNIVERSITAS AIRLANGGA,PSIKOLOGI,Sarjana,91.01,54,1066.0,0.0507,0
Siswa_44,IPS,83.2,82.9,81.1,82.4,82.0,82.32,SMAN 28 JAKARTA,14,A,99.8,0.4,DKI JAKARTA,82.16,UNIVERSITAS SULTAN AGENG TIRTAYASA,ILMU KELAUTAN,Sarjana,87.01,44,207.0,0.2126,0
Siswa_45,IPA,82.8,84.1,85.0,84.7,83.8,84.08,SMAN 1 MERAUKE,971,C,85.44,0.05,PAPUA,71.84,UNIVERSITAS NEGERI MALANG,TEKNIK MESIN,Sarjana,88.4,35,462.0,0.0758,0
Siswa_46,IPS,92.3,94.2,98.6,100.0,100.0,97.02,SMAN 2 PROBOLINGGO,978,C,85.33,0.05,JAWA TIMUR,82.79,POLITEKNIK NEGERI BENGKALIS,BISNIS DIGITAL,Sarjana Terapan,86.07,48,124.0,0.3871,1
