nama_ptn,kode_resmi,kategori,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,portofolio,rasio_keketatan
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111001,PENDIDIKAN DOKTER HEWAN,Sarjana,72,334.0,Tidak Ada,0.2156
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111002,TEKNIK SIPIL,Sarjana,84,515.0,Tidak Ada,0.1631
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111003,TEKNIK MESIN,Sarjana,36,282.0,Tidak Ada,0.1277
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111004,TEKNIK KIMIA,Sarjana,54,225.0,Tidak Ada,0.24
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111005,ARSITEKTUR,Sarjana,48,259.0,Tidak Ada,0.1853
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111006,TEKNIK ELEKTRO,Sarjana,48,299.0,Tidak Ada,0.1605
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111007,AGROTEKNOLOGI,Sarjana,36,252.0,Tidak Ada,0.1429
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111008,AGRIBISNIS,Sarjana,48,348.0,Tidak Ada,0.1379
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111009,PETERNAKAN,Sarjana,44,125.0,Tidak Ada,0.352
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111010,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Sarjana,48,180.0,Tidak Ada,0.2667
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111011,TEKNIK PERTANIAN,Sarjana,42,239.0,Tidak Ada,0.1757
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111012,PENDIDIKAN BIOLOGI,Sarjana,36,271.0,Tidak Ada,0.1328
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111013,PENDIDIKAN MATEMATIKA,Sarjana,36,297.0,Tidak Ada,0.1212
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111014,PENDIDIKAN FISIKA,Sarjana,36,95.0,Tidak Ada,0.3789
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111015,PENDIDIKAN KIMIA,Sarjana,36,132.0,Tidak Ada,0.2727
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111016,PENDIDIKAN DOKTER,Sarjana,75,1147.0,Tidak Ada,0.0654
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111017,ILMU KEPERAWATAN,Sarjana,108,1343.0,Tidak Ada,0.0804
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111018,PENDIDIKAN DOKTER GIGI,Sarjana,30,664.0,Tidak Ada,0.0452
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111019,MATEMATIKA,Sarjana,24,91.0,Tidak Ada,0.2637
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111020,FISIKA,Sarjana,24,29.0,Tidak Ada,0.8276
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111021,KIMIA,Sarjana,24,120.0,Tidak Ada,0.2
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111022,BIOLOGI,Sarjana,24,166.0,Tidak Ada,0.1446
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111023,ILMU KELAUTAN,Sarjana,48,152.0,Tidak Ada,0.3158
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111024,BUDIDAYA PERAIRAN,Sarjana,48,76.0,Tidak Ada,0.6316
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111025,TEKNIK INDUSTRI,Sarjana,36,455.0,Tidak Ada,0.0791
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111026,INFORMATIKA,Sarjana,36,959.0,Tidak Ada,0.0375
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111027,FARMASI,Sarjana,27,1311.0,Tidak Ada,0.0206
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111028,TEKNIK GEOFISIKA,Sarjana,24,88.0,Tidak Ada,0.2727
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111029,TEKNIK PERTAMBANGAN,Sarjana,36,662.0,Tidak Ada,0.0544
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111030,STATISTIKA,Sarjana,36,270.0,Tidak Ada,0.1333
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111031,PEMANFAATAN SUMBERDAYA PERIKANAN,Sarjana,36,50.0,Tidak Ada,0.72
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111032,ILMU TANAH,Sarjana,36,67.0,Tidak Ada,0.5373
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111033,TEKNIK GEOLOGI,Sarjana,24,206.0,Tidak Ada,0.1165
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111034,AGROTEKNOLOGI (PSDKU GAYO LUES),Sarjana,12,15.0,Tidak Ada,0.8
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111035,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),Sarjana,12,12.0,Tidak Ada,1.0
UNIVERSITAS SYIAH KUALA,1111,PTN Akademik,11111036,KEHUTANAN (PSDKU GAYO LUES),Sarjana,18,18.0,Tidak Ada,1.0
