ranking,npsn,nama_sekolah,provinsi,kab_kota,jenis,akreditasi,indeks_sekolah,kuota_eligible
1,20623314,MAN INSAN CENDEKIA SERPONG,BANTEN,KOTA TANGERANG SELATAN,MA,A,100.0,0.4
2,20532145,SMA KATOLIK ST.LOUIS 1,JAWA TIMUR,KOTA SURABAYA,SMA,A,99.98,0.4
3,69978389,SMA PRADITA DIRGANTARA,JAWA TENGAH,KAB. BOYOLALI,SMA,A,99.97,0.4
4,69941723,MAN INSAN CENDEKIA PEKALONGAN,JAWA TENGAH,KOTA PEKALONGAN,MA,A,99.95,0.4
5,20102568,SMAN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,A,99.94,0.4
6,20107313,SMA LABSCHOOL KEBAYORAN,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,A,99.92,0.4
7,20100170,SMAS KANISIUS JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,A,99.91,0.4
8,20101622,SMAN 2 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA,A,99.89,0.4
9,20219730,SMAS BPK 1 PENABUR BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA,A,99.88,0.4
10,20100199,SMAN 68 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,A,99.86,0.4
11,20403161,SMAN 8 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA,A,99.85,0.4
12,10263538,SMAS UNGGUL DEL,SUMATERA UTARA,KAB. TOBA,SMA,A,99.83,0.4
13,20403174,SMAN 1 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA,A,99.82,0.4
14,20107319,SMAN 28 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,A,99.8,0.4
15,20403178,SMAN 3 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA,A,99.79,0.4
16,20103301,SMAN 81 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,A,99.77,0.4
17,20100601,SMAS KRISTEN 5 BPK PENABUR,DKI JAKARTA,KOTA JAKARTA UTARA,SMA,A,99.76,0.4
18,20401146,SMAN 1 GODEAN,DI YOGYAKARTA,KAB. SLEMAN,SMA,A,99.74,0.4
19,20580050,MAN 2 KOTA MALANG,JAWA TIMUR,KOTA MALANG,MA,A,99.73,0.4
20,69975889,MAN INSAN CENDEKIA KOTA BATAM,KEPULAUAN RIAU,KOTA BATAM,MA,A,99.71,0.4
21,20403171,SMAN 6 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA,A,99.7,0.4
22,20103283,SMAN 21 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,A,99.68,0.4
23,20103307,SMAN 61 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,A,99.67,0.4
24,30315142,SMAN BANUA KAL SEL,KALIMANTAN SELATAN,KAB. BANJAR,SMA,A,99.65,0.4
25,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG,BANTEN,KAB. TANGERANG,SMA,A,99.64,0.4
26,20102214,SMAN 34 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,A,99.62,0.4
27,20103314,SMAN 48 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,A,99.61,0.4
28,20328915,SMAS KOLESE LOYOLA,JAWA TENGAH,KOTA SEMARANG,SMA,A,99.59,0.4
29,20279931,SMAS AL-IRSYAD SATYA,JAWA BARAT,KAB. BANDUNG BARAT,SMA,A,99.58,0.4
30,20108383,SMAS SANTA URSULA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA,A,99.56,0.4
31,69856916,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA,A,99.55,0.4
32,20101588,SMAN 78 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA,A,99.53,0.4
33,20219263,SMAS ALLOYSIUS 1,JAWA BARAT,KOTA BANDUNG,SMA,A,99.52,0.4
34,20247147,SMAS PESANTREN UNGGUL AL BAYAN,JAWA BARAT,KAB. SUKABUMI,SMA,A,99.5,0.4
35,60728785,MAN Insan Cendekia Gorontalo,GORONTALO,KAB. BONE BOLANGO,MA,A,99.49,0.4
36,20102193,SMAN 47 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,A,99.47,0.4
37,10507942,MAN INSAN CENDEKIA JAMBI,JAMBI,KAB. MUARO JAMBI,MA,A,99.46,0.4
38,20102218,SMAN 26 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA,A,99.44,0.4
39,20103223,SMAS LABSCHOOL JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA,A,99.43,0.4
