nama_ptn,akronim,nama_prodi,jenjang,nilai_rata_rata
INSTITUT PERTANIAN BOGOR,IPB,KOMUNIKASI DIGITAL DAN MEDIA,D4,91.61
INSTITUT PERTANIAN BOGOR,IPB,AKUNTANSI,D4,91.49
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN AGRIBISNIS,D4,90.47
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI REKAYASA PERANGKAT LUNAK,D4,90.41
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN INDUSTRI,D4,90.09
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN INDUSTRI JASA MAKANAN DAN GIZI,D4,90.01
INSTITUT PERTANIAN BOGOR,IPB,ANALISIS KIMIA,D4,89.62
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI REKAYASA KOMPUTER,D4,89.53
INSTITUT PERTANIAN BOGOR,IPB,SUPERVISOR JAMINAN MUTU PANGAN,D4,89.46
INSTITUT PERTANIAN BOGOR,IPB,TEKNIK DAN MANAJEMEN LINGKUNGAN,D4,89.2
INSTITUT PERTANIAN BOGOR,IPB,EKOWISATA,D4,88.27
INSTITUT PERTANIAN BOGOR,IPB,KOMUNIKASI DIGITAL DAN MEDIA (KAMPUS SUKABUMI),D4,88.01
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI PRODUKSI DAN MANAJEMEN PERKEBUNAN,D4,86.57
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN AGRIBISNIS (KAMPUS SUKABUMI),D4,86.38
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI PRODUKSI DAN PENGEMBANGAN MASYARAKAT PERTANIAN,D4,85.67
INSTITUT PERTANIAN BOGOR,IPB,PARAMEDIK VETERINER,D4,85.66
INSTITUT PERTANIAN BOGOR,IPB,EKOWISATA (KAMPUS SUKABUMI),D4,85.54
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI DAN MANAJEMEN PEMBENIHAN IKAN,D4,85.21
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI DAN MANAJEMEN TERNAK,D4,85.2
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI DAN MANAJEMEN TERNAK (KAMPUS SUKABUMI),D4,85.06
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI DAN MANAJEMEN PEMBENIHAN IKAN (KAMPUS SUKABUMI),D4,85.02
INSTITUT PERTANIAN BOGOR,IPB,KEDOKTERAN,S1,94.92
INSTITUT PERTANIAN BOGOR,IPB,ILMU KOMPUTER,S1,92.74
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN,S1,92.74
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI PANGAN,S1,92.58
INSTITUT PERTANIAN BOGOR,IPB,BIOINFORMATIKA,S1,92.55
INSTITUT PERTANIAN BOGOR,IPB,BISNIS,S1,92.2
INSTITUT PERTANIAN BOGOR,IPB,ILMU GIZI,S1,91.86
INSTITUT PERTANIAN BOGOR,IPB,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,S1,91.47
INSTITUT PERTANIAN BOGOR,IPB,STATISTIKA DAN SAINS DATA,S1,91.45
INSTITUT PERTANIAN BOGOR,IPB,KECERDASAN BUATAN,S1,90.92
INSTITUT PERTANIAN BOGOR,IPB,AGRIBISNIS,S1,90.81
INSTITUT PERTANIAN BOGOR,IPB,KEDOKTERAN HEWAN,S1,90.6
INSTITUT PERTANIAN BOGOR,IPB,TEKNIK SIPIL DAN LINGKUNGAN,S1,90.42
INSTITUT PERTANIAN BOGOR,IPB,TEKNIK INDUSTRI PERTANIAN,S1,90.33
INSTITUT PERTANIAN BOGOR,IPB,AGRONOMI DAN HORTIKULTURA,S1,90.02
INSTITUT PERTANIAN BOGOR,IPB,EKONOMI PEMBANGUNAN,S1,89.97
INSTITUT PERTANIAN BOGOR,IPB,AKTUARIA,S1,89.8
INSTITUT PERTANIAN BOGOR,IPB,KONSERVASI SUMBERDAYA HUTAN DAN EKOWISATA,S1,89.7
INSTITUT PERTANIAN BOGOR,IPB,EKONOMI SYARIAH,S1,89.62
INSTITUT PERTANIAN BOGOR,IPB,ILMU KELUARGA DAN KONSUMEN,S1,89.36
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN HUTAN,S1,89.24
INSTITUT PERTANIAN BOGOR,IPB,BIOKIMIA,S1,89.22
INSTITUT PERTANIAN BOGOR,IPB,EKONOMI SUMBERDAYA DAN LINGKUNGAN,S1,88.82
INSTITUT PERTANIAN BOGOR,IPB,KIMIA,S1,88.77
INSTITUT PERTANIAN BOGOR,IPB,ARSITEKTUR LANSEKAP,S1,88.68
INSTITUT PERTANIAN BOGOR,IPB,ILMU DAN TEKNOLOGI KELAUTAN,S1,88.52
INSTITUT PERTANIAN BOGOR,IPB,BIOLOGI,S1,88.34
INSTITUT PERTANIAN BOGOR,IPB,TEKNIK PERTANIAN DAN BIOSISTEM,S1,88.31
INSTITUT PERTANIAN BOGOR,IPB,SAINS BIOMEDIS,S1,88.28
INSTITUT PERTANIAN BOGOR,IPB,MATEMATIKA,S1,88.11
INSTITUT PERTANIAN BOGOR,IPB,METEOROLOGI TERAPAN,S1,88.05
INSTITUT PERTANIAN BOGOR,IPB,NUTRISI DAN TEKNOLOGI PAKAN,S1,88.01
INSTITUT PERTANIAN BOGOR,IPB,SILVIKULTUR,S1,87.81
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI HASIL PERAIRAN,S1,87.67
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI HASIL HUTAN,S1,87.24
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI HASIL TERNAK,S1,87.22
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI PRODUKSI TERNAK,S1,86.81
INSTITUT PERTANIAN BOGOR,IPB,PROTEKSI TANAMAN,S1,86.29
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA,S1,86.28
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN SUMBERDAYA LAHAN,S1,86.11
INSTITUT PERTANIAN BOGOR,IPB,MANAJEMEN SUMBERDAYA PERAIRAN,S1,86.11
INSTITUT PERTANIAN BOGOR,IPB,FISIKA,S1,85.94
INSTITUT PERTANIAN BOGOR,IPB,TEKNOLOGI & MANAJEMEN PERIKANAN TANGKAP,S1,85.76
INSTITUT PERTANIAN BOGOR,IPB,SMART AGRICULTURE,S1,85.02
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,ILMU KOMPUTER,S1,86.86
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,ARSITEKTUR,S1,86.61
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,TEKNIK SIPIL,S1,86.44
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,SISTEM INFORMASI,S1,85.82
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,TEKNOLOGI PANGAN,S1,85.67
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,TEKNIK METALURGI,S1,85.24
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,TEKNIK SISTEM ENERGI,S1,84.69
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,SAINS DATA,S1,83.04
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,BIOTEKNOLOGI,S1,82.65
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,SAINS AKTUARIA,S1,82.54
INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,ITBJH,MATEMATIKA,S1,80.11
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA – KOMPUTASI (STEI-K),S1,91.86
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),S1,91.68
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH BISNIS DAN MANAJEMEN (SBM),S1,91.54
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS SENIRUPA DAN DESAIN (FSRD),S1,91.49
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD),S1,91.39
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNOLOGI INDUSTRI – SISTEM DAN PROSES (FTI-SP),S1,91.04
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA – REKAYASA (STEI-R),S1,90.86
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB),S1,90.21
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH FARMASI (SF),S1,90.19
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN – INFRASTRUKTUR SIPIL DAN KELAUTAN (FTSL-SI),S1,90.11
INSTITUT TEKNOLOGI BANDUNG,ITB,"SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK)",S1,89.06
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNOLOGI INDUSTRI – REKAYASA INDUSTRI (FTI-RI),S1,88.86
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN – KAMPUS CIREBON (FTTM-C),S1,88.75
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM – IPA (FMIPA-IPA),S1,88.54
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN – TEKNOLOGI LINGKUNGAN (FTSL-L),S1,88.21
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH ILMU DAN TEKNOLOGI HAYATI – REKAYASA (SITH-R),S1,88.03
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM – MATEMATIKA (FMIPA-M),S1,87.96
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS TEKNOLOGI INDUSTRI – KAMPUS CIREBON (FTI-C),S1,86.83
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH ILMU DAN TEKNOLOGI HAYATI – SAINS (SITH-S),S1,86.63
INSTITUT TEKNOLOGI BANDUNG,ITB,"SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN – KAMPUS CIREBON (SAPPK-C)",S1,86.59
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN – KAMPUS CIREBON (FITB-C),S1,86.51
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH BISNIS DAN MANAJEMEN – KAMPUS CIREBON (SBM-C),S1,86.44
INSTITUT TEKNOLOGI BANDUNG,ITB,FAKULTAS SENIRUPA DAN DESAIN – KAMPUS CIREBON (FSRD-C),S1,86.27
INSTITUT TEKNOLOGI BANDUNG,ITB,SEKOLAH ILMU DAN TEKNOLOGI HAYATI – KAMPUS CIREBON (SITH-C),S1,86.18
INSTITUT TEKNOLOGI KALIMANTAN,ITK,REKAYASA KESELAMATAN,S1,89.83
INSTITUT TEKNOLOGI KALIMANTAN,ITK,INFORMATIKA,S1,89.8
INSTITUT TEKNOLOGI KALIMANTAN,ITK,SISTEM INFORMASI,S1,89.38
INSTITUT TEKNOLOGI KALIMANTAN,ITK,BISNIS DIGITAL,S1,89.16
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK INDUSTRI,S1,89.08
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK SIPIL,S1,88.97
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK ELEKTRO,S1,88.73
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK MESIN,S1,87.93
INSTITUT TEKNOLOGI KALIMANTAN,ITK,PERENCANAAN WILAYAH DAN KOTA,S1,87.3
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK LINGKUNGAN,S1,87.11
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK MATERIAL DAN METALURGI,S1,87.09
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK KIMIA,S1,86.79
INSTITUT TEKNOLOGI KALIMANTAN,ITK,ARSITEKTUR,S1,86.66
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK PERKAPALAN,S1,86.28
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK LOGISTIK,S1,86.13
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNOLOGI PANGAN,S1,86.1
INSTITUT TEKNOLOGI KALIMANTAN,ITK,DESAIN KOMUNIKASI VISUAL,S1,85.95
INSTITUT TEKNOLOGI KALIMANTAN,ITK,ILMU AKTUARIA,S1,85.53
INSTITUT TEKNOLOGI KALIMANTAN,ITK,STATISTIKA,S1,84.88
INSTITUT TEKNOLOGI KALIMANTAN,ITK,TEKNIK KELAUTAN,S1,84.23
INSTITUT TEKNOLOGI KALIMANTAN,ITK,FISIKA,S1,83.68
INSTITUT TEKNOLOGI KALIMANTAN,ITK,MATEMATIKA,S1,83.57
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,ITS,ANALITIKA LOGISTIK TERAPAN,D4,88.51
