Ranking,NPSN,Sekolah,Provinsi,Kab Kota,Jenis
1,20623314,MAN INSAN CENDEKIA SERPONG,BANTEN,KOTA TANGERANG SELATAN,MA
2,20532145,SMA KATOLIK ST.LOUIS 1,JAWA TIMUR,KOTA SURABAYA,SMA
3,69978389,SMA PRADITA DIRGANTARA,JAWA TENGAH,KAB. BOYOLALI,SMA
4,69941723,MAN INSAN CENDEKIA PEKALONGAN,JAWA TENGAH,KOTA PEKALONGAN,MA
5,20102568,SMAN 8 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
6,20107313,SMA LABSCHOOL KEBAYORAN,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
7,20100170,SMAS KANISIUS JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
8,20101622,SMAN 2 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
9,20219730,SMAS BPK 1 PENABUR BANDUNG,JAWA BARAT,KOTA BANDUNG,SMA
10,20100199,SMAN 68 JAKARTA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
11,20403161,SMAN 8 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
12,10263538,SMAS UNGGUL DEL,SUMATERA UTARA,KAB. TOBA,SMA
13,20403174,SMAN 1 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
14,20107319,SMAN 28 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
15,20403178,SMAN 3 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
16,20103301,SMAN 81 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
17,20100601,SMAS KRISTEN 5 BPK PENABUR,DKI JAKARTA,KOTA JAKARTA UTARA,SMA
18,20401146,SMAN 1 GODEAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
19,20580050,MAN 2 KOTA MALANG,JAWA TIMUR,KOTA MALANG,MA
20,69975889,MAN INSAN CENDEKIA KOTA BATAM,KEPULAUAN RIAU,KOTA BATAM,MA
21,20403171,SMAN 6 YOGYAKARTA,DI YOGYAKARTA,KOTA YOGYAKARTA,SMA
22,20103283,SMAN 21 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
23,20103307,SMAN 61 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
24,30315142,SMAN BANUA KAL SEL,KALIMANTAN SELATAN,KAB. BANJAR,SMA
25,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG,BANTEN,KAB. TANGERANG,SMA
26,20102214,SMAN 34 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
27,20103314,SMAN 48 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
28,20328915,SMAS KOLESE LOYOLA,JAWA TENGAH,KOTA SEMARANG,SMA
29,20279931,SMAS AL-IRSYAD SATYA,JAWA BARAT,KAB. BANDUNG BARAT,SMA
30,20108383,SMAS SANTA URSULA,DKI JAKARTA,KOTA JAKARTA PUSAT,SMA
31,69856916,SMA IGNATIUS GLOBAL SCHOOL (IGS) PALEMBANG,SUMATERA SELATAN,KOTA PALEMBANG,SMA
32,20101588,SMAN 78 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
33,20219263,SMAS ALLOYSIUS 1,JAWA BARAT,KOTA BANDUNG,SMA
34,20247147,SMAS PESANTREN UNGGUL AL BAYAN,JAWA BARAT,KAB. SUKABUMI,SMA
35,60728785,MAN Insan Cendekia Gorontalo,GORONTALO,KAB. BONE BOLANGO,MA
36,20102193,SMAN 47 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
37,10507942,MAN INSAN CENDEKIA JAMBI,JAMBI,KAB. MUARO JAMBI,MA
38,20102218,SMAN 26 JAKARTA,DKI JAKARTA,KOTA JAKARTA SELATAN,SMA
39,20103223,SMAS LABSCHOOL JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
40,69978962,MAN INSAN CENDEKIA PASURUAN,JAWA TIMUR,KAB. PASURUAN,MA
41,20401145,SMAN 1 KALASAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
42,20401124,SMAN 1 SLEMAN,DI YOGYAKARTA,KAB. SLEMAN,SMA
43,20220343,SMAS REGINA PACIS,JAWA BARAT,KOTA BOGOR,SMA
44,20402126,SMAN 1 WONOSARI,DI YOGYAKARTA,KAB. GUNUNG KIDUL,SMA
45,20103303,SMAN 71 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
46,20103285,SMAN 12 JAKARTA,DKI JAKARTA,KOTA JAKARTA TIMUR,SMA
47,20101589,SMAN 65 JAKARTA,DKI JAKARTA,KOTA JAKARTA BARAT,SMA
