nama_ptn,kode_ptn,kode_resmi,kategori,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,portofolio,scraped_at,rasio_keketatan
Universitas Syiah Kuala,111,1111,PTN Akademik,11111001,Pendidikan Dokter Hewan,Sarjana,72,334.0,Tidak Ada,2026-04-10 15:23:57,0.2156
Universitas Syiah Kuala,111,1111,PTN Akademik,11111002,Teknik Sipil,Sarjana,84,515.0,Tidak Ada,2026-04-10 15:23:57,0.1631
Universitas Syiah Kuala,111,1111,PTN Akademik,11111003,Teknik Mesin,Sarjana,36,282.0,Tidak Ada,2026-04-10 15:23:57,0.1277
Universitas Syiah Kuala,111,1111,PTN Akademik,11111004,Teknik Kimia,Sarjana,54,225.0,Tidak Ada,2026-04-10 15:23:57,0.24
Universitas Syiah Kuala,111,1111,PTN Akademik,11111005,Arsitektur,Sarjana,48,259.0,Tidak Ada,2026-04-10 15:23:57,0.1853
Universitas Syiah Kuala,111,1111,PTN Akademik,11111006,Teknik Elektro,Sarjana,48,299.0,Tidak Ada,2026-04-10 15:23:57,0.1605
Universitas Syiah Kuala,111,1111,PTN Akademik,11111007,Agroteknologi,Sarjana,36,252.0,Tidak Ada,2026-04-10 15:23:57,0.1429
Universitas Syiah Kuala,111,1111,PTN Akademik,11111008,Agribisnis,Sarjana,48,348.0,Tidak Ada,2026-04-10 15:23:57,0.1379
Universitas Syiah Kuala,111,1111,PTN Akademik,11111009,Peternakan,Sarjana,44,125.0,Tidak Ada,2026-04-10 15:23:57,0.352
Universitas Syiah Kuala,111,1111,PTN Akademik,11111010,Teknologi Pangan Dan Hasil Pertanian,Sarjana,48,180.0,Tidak Ada,2026-04-10 15:23:57,0.2667
Universitas Syiah Kuala,111,1111,PTN Akademik,11111011,Teknik Pertanian,Sarjana,42,239.0,Tidak Ada,2026-04-10 15:23:57,0.1757
Universitas Syiah Kuala,111,1111,PTN Akademik,11111012,Pendidikan Biologi,Sarjana,36,271.0,Tidak Ada,2026-04-10 15:23:57,0.1328
Universitas Syiah Kuala,111,1111,PTN Akademik,11111013,Pendidikan Matematika,Sarjana,36,297.0,Tidak Ada,2026-04-10 15:23:57,0.1212
Universitas Syiah Kuala,111,1111,PTN Akademik,11111014,Pendidikan Fisika,Sarjana,36,95.0,Tidak Ada,2026-04-10 15:23:57,0.3789
Universitas Syiah Kuala,111,1111,PTN Akademik,11111015,Pendidikan Kimia,Sarjana,36,132.0,Tidak Ada,2026-04-10 15:23:57,0.2727
Universitas Syiah Kuala,111,1111,PTN Akademik,11111016,Pendidikan Dokter,Sarjana,75,1147.0,Tidak Ada,2026-04-10 15:23:57,0.0654
Universitas Syiah Kuala,111,1111,PTN Akademik,11111017,Ilmu Keperawatan,Sarjana,108,1343.0,Tidak Ada,2026-04-10 15:23:57,0.0804
Universitas Syiah Kuala,111,1111,PTN Akademik,11111018,Pendidikan Dokter Gigi,Sarjana,30,664.0,Tidak Ada,2026-04-10 15:23:57,0.0452
Universitas Syiah Kuala,111,1111,PTN Akademik,11111019,Matematika,Sarjana,24,91.0,Tidak Ada,2026-04-10 15:23:57,0.2637
Universitas Syiah Kuala,111,1111,PTN Akademik,11111020,Fisika,Sarjana,24,29.0,Tidak Ada,2026-04-10 15:23:57,0.8276
Universitas Syiah Kuala,111,1111,PTN Akademik,11111021,Kimia,Sarjana,24,120.0,Tidak Ada,2026-04-10 15:23:57,0.2
Universitas Syiah Kuala,111,1111,PTN Akademik,11111022,Biologi,Sarjana,24,166.0,Tidak Ada,2026-04-10 15:23:57,0.1446
Universitas Syiah Kuala,111,1111,PTN Akademik,11111023,Ilmu Kelautan,Sarjana,48,152.0,Tidak Ada,2026-04-10 15:23:57,0.3158
Universitas Syiah Kuala,111,1111,PTN Akademik,11111024,Budidaya Perairan,Sarjana,48,76.0,Tidak Ada,2026-04-10 15:23:57,0.6316
Universitas Syiah Kuala,111,1111,PTN Akademik,11111025,Teknik Industri,Sarjana,36,455.0,Tidak Ada,2026-04-10 15:23:57,0.0791
Universitas Syiah Kuala,111,1111,PTN Akademik,11111026,Informatika,Sarjana,36,959.0,Tidak Ada,2026-04-10 15:23:57,0.0375
Universitas Syiah Kuala,111,1111,PTN Akademik,11111027,Farmasi,Sarjana,27,1311.0,Tidak Ada,2026-04-10 15:23:57,0.0206
Universitas Syiah Kuala,111,1111,PTN Akademik,11111028,Teknik Geofisika,Sarjana,24,88.0,Tidak Ada,2026-04-10 15:23:57,0.2727
Universitas Syiah Kuala,111,1111,PTN Akademik,11111029,Teknik Pertambangan,Sarjana,36,662.0,Tidak Ada,2026-04-10 15:23:57,0.0544
Universitas Syiah Kuala,111,1111,PTN Akademik,11111030,Statistika,Sarjana,36,270.0,Tidak Ada,2026-04-10 15:23:57,0.1333
Universitas Syiah Kuala,111,1111,PTN Akademik,11111031,Pemanfaatan Sumberdaya Perikanan,Sarjana,36,50.0,Tidak Ada,2026-04-10 15:23:57,0.72
Universitas Syiah Kuala,111,1111,PTN Akademik,11111032,Ilmu Tanah,Sarjana,36,67.0,Tidak Ada,2026-04-10 15:23:57,0.5373
Universitas Syiah Kuala,111,1111,PTN Akademik,11111033,Teknik Geologi,Sarjana,24,206.0,Tidak Ada,2026-04-10 15:23:57,0.1165
Universitas Syiah Kuala,111,1111,PTN Akademik,11111034,Agroteknologi (Psdku Gayo Lues),Sarjana,12,15.0,Tidak Ada,2026-04-10 15:23:57,0.8
Universitas Syiah Kuala,111,1111,PTN Akademik,11111035,Pendidikan Biologi  (Pdsku Gayo Lues),Sarjana,12,12.0,Tidak Ada,2026-04-10 15:23:57,1.0
Universitas Syiah Kuala,111,1111,PTN Akademik,11111036,Kehutanan (Psdku Gayo Lues),Sarjana,18,18.0,Tidak Ada,2026-04-10 15:23:57,1.0
Universitas Syiah Kuala,111,1111,PTN Akademik,11111037,Proteksi Tanaman,Sarjana,24,62.0,Tidak Ada,2026-04-10 15:23:57,0.3871
Universitas Syiah Kuala,111,1111,PTN Akademik,11111038,Perencanaan Wilayah Dan Kota,Sarjana,36,252.0,Tidak Ada,2026-04-10 15:23:57,0.1429
Universitas Syiah Kuala,111,1111,PTN Akademik,11111039,Kehutanan,Sarjana,36,170.0,Tidak Ada,2026-04-10 15:23:57,0.2118
Universitas Syiah Kuala,111,1111,PTN Akademik,11111040,Teknik Komputer,Sarjana,48,712.0,Tidak Ada,2026-04-10 15:23:57,0.0674
Universitas Syiah Kuala,111,1111,PTN Akademik,11111041,Ekonomi Pembangunan,Sarjana,48,317.0,Tidak Ada,2026-04-10 15:23:57,0.1514
Universitas Syiah Kuala,111,1111,PTN Akademik,11111042,Manajemen,Sarjana,60,927.0,Tidak Ada,2026-04-10 15:23:57,0.0647
Universitas Syiah Kuala,111,1111,PTN Akademik,11111043,Akuntansi,Sarjana,60,716.0,Tidak Ada,2026-04-10 15:23:57,0.0838
Universitas Syiah Kuala,111,1111,PTN Akademik,11111044,Ilmu Hukum,Sarjana,168,979.0,Tidak Ada,2026-04-10 15:23:57,0.1716
Universitas Syiah Kuala,111,1111,PTN Akademik,11111045,Pendidikan Pancasila Dan Kewarganegaraan,Sarjana,42,509.0,Tidak Ada,2026-04-10 15:23:57,0.0825
Universitas Syiah Kuala,111,1111,PTN Akademik,11111046,Pendidikan Sejarah,Sarjana,36,428.0,Tidak Ada,2026-04-10 15:23:57,0.0841
Universitas Syiah Kuala,111,1111,PTN Akademik,11111047,Pendidikan Ekonomi,Sarjana,48,231.0,Tidak Ada,2026-04-10 15:23:57,0.2078
Universitas Syiah Kuala,111,1111,PTN Akademik,11111048,Pendidikan Geografi,Sarjana,48,282.0,Tidak Ada,2026-04-10 15:23:57,0.1702
Universitas Syiah Kuala,111,1111,PTN Akademik,11111049,Pendidikan Bahasa Indonesia,Sarjana,48,509.0,Tidak Ada,2026-04-10 15:23:57,0.0943
Universitas Syiah Kuala,111,1111,PTN Akademik,11111050,Pendidikan Bahasa Inggris,Sarjana,48,430.0,Tidak Ada,2026-04-10 15:23:57,0.1116
Universitas Syiah Kuala,111,1111,PTN Akademik,11111051,Pendidikan Seni Drama Tari Dan Musik,Sarjana,36,186.0,Sendratasik,2026-04-10 15:23:57,0.1935
Universitas Syiah Kuala,111,1111,PTN Akademik,11111052,Pendidikan Kesejahteraan Keluarga,Sarjana,48,409.0,Tidak Ada,2026-04-10 15:23:57,0.1174
Universitas Syiah Kuala,111,1111,PTN Akademik,11111053,Pend. Jasmani Kesehatan Dan Rekreasi,Sarjana,60,296.0,Olahraga,2026-04-10 15:23:57,0.2027
Universitas Syiah Kuala,111,1111,PTN Akademik,11111054,Bimbingan Konseling,Sarjana,45,1101.0,Tidak Ada,2026-04-10 15:23:57,0.0409
Universitas Syiah Kuala,111,1111,PTN Akademik,11111055,Pendidikan Guru Sekolah Dasar,Sarjana,69,1077.0,Tidak Ada,2026-04-10 15:23:57,0.0641
Universitas Syiah Kuala,111,1111,PTN Akademik,11111056,Psikologi,Sarjana,24,544.0,Tidak Ada,2026-04-10 15:23:57,0.0441
Universitas Syiah Kuala,111,1111,PTN Akademik,11111057,Ilmu Politik,Sarjana,53,169.0,Tidak Ada,2026-04-10 15:23:57,0.3136
Universitas Syiah Kuala,111,1111,PTN Akademik,11111058,Sosiologi,Sarjana,41,224.0,Tidak Ada,2026-04-10 15:23:57,0.183
Universitas Syiah Kuala,111,1111,PTN Akademik,11111059,Ilmu Komunikasi,Sarjana,54,531.0,Tidak Ada,2026-04-10 15:23:57,0.1017
Universitas Syiah Kuala,111,1111,PTN Akademik,11111060,Pendidikan Guru Paud,Sarjana,42,317.0,Tidak Ada,2026-04-10 15:23:57,0.1325
Universitas Syiah Kuala,111,1111,PTN Akademik,11111061,Ilmu Pemerintahan,Sarjana,54,323.0,Tidak Ada,2026-04-10 15:23:57,0.1672
Universitas Syiah Kuala,111,1111,PTN Akademik,11111062,Ekonomi Islam,Sarjana,48,253.0,Tidak Ada,2026-04-10 15:23:57,0.1897
Universitas Syiah Kuala,111,1111,PTN Akademik,11111063,Manajemen (Psdku Gayo Lues),Sarjana,24,23.0,Tidak Ada,2026-04-10 15:23:57,1.0435
Universitas Syiah Kuala,111,1111,PTN Akademik,11111078,Teknologi Industri Hasil Perikanan,Sarjana,15,43.0,Tidak Ada,2026-04-10 15:23:57,0.3488
Universitas Syiah Kuala,111,1111,PTN Akademik,11111079,Bisnis Digital,Sarjana,24,,Tidak Ada,2026-04-10 15:23:57,
Universitas Syiah Kuala,111,1111,PTN Akademik,11111080,Teknik Sumber Daya Air,Sarjana,18,,Tidak Ada,2026-04-10 15:23:57,
Universitas Syiah Kuala,111,1111,PTN Akademik,11111081,Teknik Perminyakan,Sarjana,18,,Tidak Ada,2026-04-10 15:23:57,
Universitas Syiah Kuala,111,1111,PTN Akademik,11111082,Teknik Lingkungan,Sarjana,18,,Tidak Ada,2026-04-10 15:23:57,
Universitas Syiah Kuala,111,1111,PTN Akademik,11112065,Akuntansi Perpajakan,Sarjana Terapan,24,87.0,Tidak Ada,2026-04-10 15:23:57,0.2759
Universitas Syiah Kuala,111,1111,PTN Akademik,11113064,Kesehatan Hewan,Diploma Tiga,9,14.0,Tidak Ada,2026-04-10 15:23:57,0.6429
Universitas Syiah Kuala,111,1111,PTN Akademik,11113066,Manajemen Agribisnis,Diploma Tiga,30,9.0,Tidak Ada,2026-04-10 15:23:57,3.3333
Universitas Syiah Kuala,111,1111,PTN Akademik,11113067,Teknik Listrik,Diploma Tiga,12,18.0,Tidak Ada,2026-04-10 15:23:57,0.6667
Universitas Syiah Kuala,111,1111,PTN Akademik,11113068,Budidaya Peternakan,Diploma Tiga,18,5.0,Tidak Ada,2026-04-10 15:23:57,3.6
Universitas Syiah Kuala,111,1111,PTN Akademik,11113069,Teknik Mesin,Diploma Tiga,12,15.0,Tidak Ada,2026-04-10 15:23:57,0.8
Universitas Syiah Kuala,111,1111,PTN Akademik,11113071,Teknik Sipil,Diploma Tiga,24,11.0,Tidak Ada,2026-04-10 15:23:57,2.1818
Universitas Syiah Kuala,111,1111,PTN Akademik,11113072,Sekretari,Diploma Tiga,12,19.0,Tidak Ada,2026-04-10 15:23:57,0.6316
Universitas Syiah Kuala,111,1111,PTN Akademik,11113073,Manajemen Perusahaan,Diploma Tiga,12,20.0,Tidak Ada,2026-04-10 15:23:57,0.6
Universitas Syiah Kuala,111,1111,PTN Akademik,11113075,Akuntansi,Diploma Tiga,24,12.0,Tidak Ada,2026-04-10 15:23:57,2.0
Universitas Syiah Kuala,111,1111,PTN Akademik,11113076,Keuangan Dan Perbankan,Diploma Tiga,24,48.0,Tidak Ada,2026-04-10 15:23:57,0.5
Universitas Syiah Kuala,111,1111,PTN Akademik,11113077,Manajemen Informatika,Diploma Tiga,24,21.0,Tidak Ada,2026-04-10 15:23:57,1.1429
Universitas Malikussaleh,112,1112,PTN Akademik,11121001,Teknik Sipil,Sarjana,165,265.0,Tidak Ada,2026-04-10 15:23:59,0.6226
Universitas Malikussaleh,112,1112,PTN Akademik,11121002,Teknik Mesin,Sarjana,150,243.0,Tidak Ada,2026-04-10 15:23:59,0.6173
Universitas Malikussaleh,112,1112,PTN Akademik,11121003,Teknik Kimia,Sarjana,125,124.0,Tidak Ada,2026-04-10 15:23:59,1.0081
Universitas Malikussaleh,112,1112,PTN Akademik,11121004,Teknik Elektro,Sarjana,100,164.0,Tidak Ada,2026-04-10 15:23:59,0.6098
Universitas Malikussaleh,112,1112,PTN Akademik,11121005,Teknik Industri,Sarjana,125,367.0,Tidak Ada,2026-04-10 15:23:59,0.3406
Universitas Malikussaleh,112,1112,PTN Akademik,11121006,Teknik Informatika,Sarjana,148,640.0,Tidak Ada,2026-04-10 15:23:59,0.2312
Universitas Malikussaleh,112,1112,PTN Akademik,11121007,Teknik Arsitektur,Sarjana,75,81.0,Tidak Ada,2026-04-10 15:23:59,0.9259
Universitas Malikussaleh,112,1112,PTN Akademik,11121008,Agroekoteknologi,Sarjana,158,291.0,Tidak Ada,2026-04-10 15:23:59,0.543
Universitas Malikussaleh,112,1112,PTN Akademik,11121009,Agribisnis,Sarjana,133,274.0,Tidak Ada,2026-04-10 15:23:59,0.4854
